"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cyprus","CYP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3600006103516","","","","","","","","","96.8000030517578","","","","","","","","","","98.6800003051758","","","","","","","","","","","","","",
"Czechia","CZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","73.0599975585938","","","","","","","","","","","","","","","","","","","","","87","","","","","88.2399978637695","","","89.5400009155273","90.1100006103516","90.1600036621094","90.8600006103516","91.7600021362305","91.9899978637695","93.7799987792969","93.232235984521","93.4355831240379","93.6758208343989","93.7009782823312","93.7368933438107","93.7022375646963","94.3123758236054","94.0299987792969",
"Algeria","DZA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6300010681152","","","","","","","","","","","","","","","69.870002746582","","","","72.6500015258789","","75.1399993896484","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.8581390380859","64.0300369262695","65.2200317382812","66.5742263793945","67.7760620117188","68.9156188964844","69.9690628051758","70.9819793701172","72.0605697631836","73.0826721191406","74.0006790161133","75.2221221923828","79.4206390380859","80.1004180908203","80.7272262573242","81.2918319702148","81.8215103149414","82.308952331543","82.8723373413086","83.4338912963867","83.931396484375","89.5098190307617","89.8761672973633","90.17822265625","90.553596496582","90.8926391601562","91.2396469116211","91.5803833007812","91.8963394165039","92.2210388183594","92.5743637084961","93.7795486450195","94.0830993652344","94.3646392822266","94.4140930175781","94.6347427368164","94.8596878051758","94.9326095581055","95.3386917114258","95.5418395996094","95.7421722412109","95.9314804077148","95.9548416137695","96.0973815917969","96.3145980834961","96.4505920410156","96.5920104980469","96.719482421875","96.8457412719727",
"Early-demographic dividend","EAR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","48.730110168457","48.9565582275391","49.5846099853516","50.2185516357422","50.8120613098145","51.4145088195801","52.0102005004883","52.6382102966309","53.2523384094238","54.0640296936035","54.689769744873","55.3154602050781","56.1672515869141","56.8678512573242","57.5567283630371","58.4152488708496","59.119010925293","59.9782104492188","60.8206596374512","61.6209602355957","62.4787101745605","63.2406311035156","63.9864387512207","66.9885482788086","67.6863098144531","68.4427719116211","69.0135269165039","69.6658096313477","70.609733581543","71.2848129272461","71.2920684814453","71.2998580932617","72.2777633666992","73.1250991821289","73.8797378540039","75.349983215332","75.7629165649414","76.0347595214844","76.7143478393555","77.4954833984375","78.409553527832","79.0816879272461","79.3345489501953","79.6844329833984","79.7876586914062","80.3006210327148","80.7130966186523","81.2427978515625","81.6767883300781","82.0969390869141",
"East Asia & Pacific","EAS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","65.990852355957","66.1952362060547","67.2857818603516","68.5158233642578","69.6074371337891","70.6448364257812","71.6053695678711","72.5283126831055","73.5069122314453","74.4343032836914","75.2565765380859","76.4058380126953","80.1362075805664","80.7587585449219","81.3328475952148","81.8444595336914","82.3266296386719","82.7702407836914","83.3049774169922","83.8383331298828","84.3022689819336","89.2727813720703","89.6250381469727","89.9473037719727","90.3089904785156","90.625","90.982307434082","91.3475494384766","91.6847534179688","92.0241470336914","92.373893737793","93.5117034912109","93.8185882568359","94.0897827148438","94.0794372558594","94.3025207519531","94.5438613891602","94.6176986694336","95.0931625366211","95.2985763549805","95.4995803833008","95.6873626708984","95.729736328125","95.8726425170898","96.0861206054688","96.2234420776367","96.3631210327148","96.4882202148438","96.6137084960938",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.1812591552734","92.277961730957","92.5226364135742","92.7697601318359","93.0078735351562","93.2203674316406","93.4306411743164","93.6386871337891","93.9587478637695","94.1562881469727","94.4570236206055","94.6650085449219","95.03076171875","95.1800308227539","95.3250427246094","95.4578628540039","95.5637969970703","95.839111328125","95.7333221435547","95.897102355957","96.0156402587891","96.8484878540039","97.4171600341797","97.8697662353516","98.130126953125","98.2144927978516","98.2864685058594","98.3565216064453","98.4758911132812","98.5916519165039","98.6577835083008","98.7980194091797","98.8268203735352","98.872200012207","98.9060592651367","98.9629821777344","99.0158462524414",
"Europe & Central Asia","ECS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8006134033203","95.9528121948242","96.1262969970703","96.264892578125","96.4227523803711","96.5414123535156","96.6375885009766","","96.8990325927734","96.9892272949219","97.0722122192383","97.1905364990234","97.2468566894531","97.3271331787109","97.4457626342773","97.7062072753906","97.8733291625977","98.0188674926758","98.1191635131836","98.1803283691406","98.2227478027344","98.2727508544922","98.3339462280273","98.4128494262695","98.5019073486328","98.5681076049805","98.6057281494141","98.7386932373047","98.7496566772461","98.7675628662109","",
"Ecuador","ECU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","83.5500030517578","","","","","","","","88.3000030517578","","","","","","","","","","","90.9800033569336","","","","","","92.0999984741211","92.3899993896484","92.25","91.8499984741211","91.5899963378906","92.0599975585938","93.2900009155273","94.2200012207031","94.4599990844727","94.3499984741211","92.8300018310547","","","93.629997253418","94.4800033569336","96.2600021362305","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","38.2000007629395","","","","","","","","","","44.4199981689453","","","","","","","","","","55.5900001525879","","","","","","","","","67.3300018310547","66.370002746582","","","","72.0500030517578","","73.870002746582","72.4400024414062","","","","71.1699981689453","","","","82.083331279425","79.4565788949049","","",
"Euro area","EMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5099983215332","","","","","","64.6600036621094","","","","","","","","","","","","","","","","",
"Spain","ESP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","92.8099975585938","","","","","","","","","","96.4899978637695","","","","","","","","","","","","","97.1699981689453","97.75","97.75","97.9400024414062","97.629997253418","97.6800003051758","97.75","97.7799987792969","97.8899993896484","98.0800018310547","98.0899963378906","98.1399993896484","98.25","","98.4400024414062","","98.5899963378906","99.6999969482422","","","",
